database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
kr-vs-k,0.011252667849620441,0.011788685114214329,0.006798530013195013,0.007090419021348093,0.01237603039540786,0.012888059641372268
leaf,0.00021610442179296308,0.000245629838191003,0.0002802259970653124,0.0002808312249137815,0.000250907456455992,0.0002565444255576771
led7digit,0.0006002284730274664,0.00044983024577241145,0.0009541305150366386,0.0009819438880600039,0.0008321761342344152,0.0006203193048949362
legalh,0.001672546116200659,0.0016667110142516602,0.0015386919309562919,0.001548765342973217,0.0017306592026695201,0.0017239348755406611
letter,0.00012860301450674528,0.00013463566320115963,0.00018818912415966718,0.00019292636928064963,0.0001393099628099817,0.00014713472088736322
liver-disorders,0.0006154198829799188,0.0006594480121420804,0.0008472872837681777,0.0008171510730800118,0.0007079245154253899,0.0007305698571963324
lsd,0.00164658532437898,0.0016275453643003908,0.0014740089729729602,0.001468075637933342,0.001693236272983301,0.0016958901826336682
lymphography,0.0010191693879227147,0.0010067571364843664,0.0009169286246194503,0.0009299694832766321,0.0009408090833549195,0.000995362778281547
magic,6.923996896548179e-05,6.841904379460206e-05,6.606677042877731e-05,6.867242196537453e-05,6.881834666895953e-05,7.288134812429496e-05
mammographic,0.033383389892206614,0.03162124802908093,0.033970852968918705,0.031725861412549815,0.0335837088112627,0.031111171682668227
marketing,0.0011182365940244708,0.001098992056934516,0.001057854509240635,0.0010334194538613396,0.0011493228657594693,0.001137889836142923
meth,0.001605929746908541,0.001602613998398418,0.001586148784385719,0.001602117466006336,0.001678330131705753,0.001651807027381874
mfeat,7.732994306802722e-07,7.666450311896681e-07,8.867408054055117e-07,8.878060861157873e-07,7.827978913552856e-07,7.915675136981156e-07
ml-prove,9.432308531722519e-05,9.252745551508338e-05,9.29326020526223e-05,9.165791880489391e-05,9.662120847190472e-05,9.500365484430079e-05
movement_libras,3.952270258426809e-06,3.8887634454923635e-06,4.09849838358228e-06,4.369709863705879e-06,4.3246873911244435e-06,4.501818399131346e-06
mushrooms,0.001662994181420948,0.0016790566559498669,0.001465777257997083,0.001475039322328341,0.0017339507045604171,0.00172353265962043
musk1,5.19695726411622e-06,4.998831846431449e-06,5.19368808023228e-06,5.182303685185231e-06,4.538417661310616e-06,4.8069575565974205e-06
musk2,7.067499793170733e-06,7.03723058755685e-06,5.266362605400278e-06,5.831241502670137e-06,6.015216096716438e-06,6.307451011403152e-06
newthyroid,0.006093447087565003,0.006275846712674239,0.011571183861373987,0.010699719362681707,0.008982835374292241,0.009118958568169334
nicotin,0.0016075722037425285,0.001613007694977526,0.001594861589013458,0.001597989093253236,0.001693880750622974,0.001705139553129479
optdigits,0.00010565614708650702,0.0001058765675105845,0.00011044739828480551,0.00011007115449261828,0.0001108307117246353,0.00011064806853747389
ozone,1.2360518705523729e-05,1.226654761350719e-05,1.446560747700643e-05,1.466199316089462e-05,1.2213391056724759e-05,1.297226295956206e-05
page-blocks,0.0004925929429138089,0.0005217966739958559,0.0005138270707934356,0.0005295155557621325,0.0005048635001760324,0.0005182545679503649
parkinsons,0.00028257235334001136,0.0003061434301432817,0.0003139743880269168,0.0003009178896303776,0.00029763679992181975,0.00028452149038610725
penbased,4.3039640144882055e-05,4.40658601079185e-05,4.477263013174923e-05,4.392421126991944e-05,4.375548606532626e-05,4.589628289210073e-05
phishing,0.00027168428728624716,0.00026469594590967726,0.00025989562630636116,0.0002504790614539078,0.00026820524746940785,0.0002617893438807142
phoneme,0.00027675762544916347,0.00028094024683014235,0.00040944190113328976,0.0003934579858679418,0.00035857958581759033,0.00035865713951899257
pima,0.001230142474064713,0.0012010462813887633,0.00137310239653961,0.001341959292740344,0.001280678926332824,0.001312767032585912
ring,3.482446623730621e-06,3.603609671772526e-06,4.272773520878414e-06,4.460048875945745e-06,3.098987067601635e-06,3.220260013899511e-06
saheart,0.0010924898299014129,0.001106960194771653,0.001197103261710952,0.001219829260112848,0.001110355880502182,0.0011248896314269869
seeds,0.0014166510290617353,0.0016282945399810785,0.0016203649489185186,0.0017798860346851058,0.001510497799613026,0.001647539164786787
segment,0.0008699677432961187,0.0008677765830962459,0.0009017537740114975,0.000929494919262086,0.0009001004285103028,0.000903693528605523
seismic-bumps,0.003393945973505575,0.0033864156660802515,0.0035054336758143763,0.0035288975676222864,0.003442597450608366,0.003482185794875025
sensor-readings,0.0002336967433771093,0.00024111151138725504,0.00030397239958276825,0.0003142024292379267,0.0002545571011648087,0.00027026096188937374
shuttle,0.004701778828281198,0.0046548947881961495,0.006961086136731261,0.006884155870579859,0.005164703576809715,0.005181725076784148
sonar,2.6756821896227962e-05,2.778865341390319e-05,2.766121218094091e-05,2.8492985174130945e-05,2.7085705370364666e-05,3.061405819286096e-05
spambase,0.0002462134338501099,0.00023862089829900898,0.0002353416471621646,0.00022766040102757318,0.0002500586357780903,0.0002404925460953792
spectfheart,3.793859343836169e-05,3.8914786154703524e-05,5.030359339766243e-05,4.836792927107347e-05,4.214536157143441e-05,4.1474060757712646e-05
spectrometer,7.84869020962475e-06,7.916985539564292e-06,6.815618173848978e-06,6.281717967853799e-06,8.443357697976133e-06,8.590864534571513e-06
